Konkani_sentences,Sentiment
दुयेंतीक हागतना खुबूच जाळ आनी त्रास पडटात.,Negative
झर्‍या मेरेन वचपाचो रस्तो रानांतल्यान आनी दोंगरां मदल्यान वता.,Neutral
दुदसागराचें व्हांवतें उदक मुखार वचून हेच खांडेपार न्हंयेंत मेळटा.,Neutral
"वयर वचपा खातीर ल्हान सोंपणां बांदल्यांत , चारूय वटांनी वेदी बांदल्यात.",Negative
मनरिजवणेच्या सगळ्या साधनांचे खूब पोरणें नांव  क्रीडा  आशिल्लें.,Negative
झुजा वेळार जाल्ल्या भिरांकूळ रक्तपातान ताका बौद्ध धर्म आपणावपाक भाग पाडलो.,Negative
ह्या सवायपणांत अशक्याक शक्य करपाची तांक आसा.,Negative
"उसरान काय आसना , भारत सरकाराची नदर ह्या संग्रहालयाचेर पडल्या.",Negative
लखनौच्या पायणींनी एक आगळीच ओड आसा.,Neutral
पूण खूबश्या बायलां मदीं तीं तांबडें लिपस्टीक लावंक शकनात हो चुकीचो समज आसा.,Positive
दोंगराळ वाठारांनी बियांचे नर्सरींत मार्च एप्रील म्हयन्यांत पेरतात.,Neutral
परशुराम आनी माता रेणुकाचें देवूळ खास आसा.,Positive
१८५७चे दुख्खी घडणुके उपरांत इंग्लेज सैनिकांनी लाल किल्ल्याचेर ताबो मेळयलो.,Negative
वेवसायीक शेती ह्या तरेची शेती आधुनीक विकासाची देणगी आसा.,Neutral
निर्याता खातीर भारतांत फुलांचें उत्पादनांत पांरपारीक फुलां सोडून कापिल्ल्या फुलां कडेन गेलो.,Neutral
जिणेचो कसलोच भाग असो ना जो अपघातांनी आफडूंक ना.,Neutral
अमिताभा शिवाय रफीक शम्मी कपूर आनी धर्मेंद्राचे सिनेमाय खूब आवडटाले.,Positive
डेरिवेटीव उत्पादनांचो वापर धोक्याच्या कबलाती खेरीज व्हड स्तरार सट्टेबाजां वतीन करतात.,Neutral
हज़ारों ख्वाहिशें ऐसीत  भायल्यातल्यान आयिल्ले लोक गांवकर्‍यां खातीर झुजतात.,Neutral
कापसाची शेती बाकीच्या पिकां भशेन रसायनीक सार्‍या बगर हेर जाग्यांचेर करतात.,Positive
कृशी क्षेत्रांनी सादारण ६४ % कामगारांक काम मेळ्ळां.,Negative
लोकसंख्येच्या अभावान दर मनशाक उत्पादन खूब चड आसता.,Positive
क्रायोप्रेसिपिटेट हें खाशेले तरेन हिमोफिलियाचो पिडेस्त वा आनी खंयच्याय रगत व्हांवपी दुयेंसाचो पिडेस्त हांचे खातीर वापरता.,Negative
कर्नाटकांत न्हंयाच्या धारांनी तयार जाल्लीं कितलींशींच भरते न्हंयेमुखां ( एश्चुअरी ) आसात.,Negative
जर तुमकां भलायकेवंत रावपाक जाय जाल्यार धुम्रपानाक  ना  म्हणात.,Positive
"मुमरांच्या उपचारांत निलगिरी, लॅवॅण्डर, टिटी हींय बी उपेगी आसतात.",Positive
लवंगा सारकें हातूंत लेगीत जायत्या रोगां कडेन झुजपाची तांक आसता.,Positive
उकते सुवातेर सावन तुमचे खाटीर लेगीत त्यो तुमकां मेळूं येतात.,Neutral
एक आध्यात्मीक नेत्याच्या रुपांत तांचो प्रभाव देशांतल्या बुद्धीजिवांचेरय खूब उरलो.,Neutral
"तातूंत स्विमींग पूल , भुरग्यां खातीर पार्क , टॉयट्रन , बी आकर्शणां आसात.",Neutral
ह्या तरेन माती संरक्षणाचे दिशेंत जैवीक शेती सगल्यांत महत्वपूर्ण आसा.,Positive
ह्या पयल्या व्हड्यांत जनावरांक पळोवपाची शक्यताय चड आसता.,Positive
शिंयाच्या मोसमांत चरबेचो शिमीत आनी योग्य उपेग गरजेचो.,Negative
थंय सावन आमी धांवपट्‍टेचेर घुंवून ट्रांस मालदिवियनाच्या तळार पावले.,Negative
"कार्बोहायड्रेटाचें उणें प्रमाण घेतिल्ल्यान  कॅटोसीसची समस्या जाता, जाचो परिणाम मुत्रपिंडाचेर पडटा.",Negative
"सी  सेलीन जिवनसत्व, रिडोक्शनन, बी ह्या दुयेंसांत खाशेल्या रुपान उपेगी आसात.",Positive
हार्मोन थॅरेपी घेवपी बायलांचो मेंदू सदच्या परस चड तिव्रतायेन आंवळून येता.,Negative
शेतांचो आकार कमी जालो : प्रदेशांत शेतांचो आकारय चिंताजनक रुपांत कमी जाला.,Negative
ही मेळोवपाक खंयचेच व्यक्तीक कसलेच त्रास पडनात.,Neutral
आपोलाचो सगल्यांत म्हत्वपूर्ण गूण ताचो प्राण उर्जे पसून पूर्ण जाता.,Positive
पांच माड आशिल्ल्या कारणान हो भुंयभाग  अंचुतेंगु  नांवान फामाद जालो.,Positive
मल्याळम सिनेमा  कलियांचन  आनी मराठी सिनेमा  संहितान  सर्वश्रेश्ठ संगीत निर्देशकाचो पुरस्कार आपल्या नांवार केलो.,Positive
स्केटिंगाची सगल्यांत फामाद तरा म्हणल्यार फिगर वा आर्टिस्टिक स्केटिंग.,Positive
ही घाण पयस करपा खातीर आमकां केंस नेमान धुवचे पडटात.,Neutral
सादारण मनशा मेरेन पावपाचें हें सगल्यान चड प्रभावी माध्यम.,Positive
