,konkani,label
0,हागवणूय लागता.,negative
1,फळांनी आनी भाजयांनी जावपी चरबी कुडी खातीर उपेगी आसता.,positive
2,पूण ह्या स्वतंत्रतायेचे तात्पर्य हें न्हय की वांगड्यांक जें तांकां जाय तशें उलोवंक वा करूंक मेळटले.,positive
3,गुदडींत तांबड्या बिहारा संदर्भांत ही गजाल खरी थरता.,positive
4,स्वामी शनी आसा.,neutral
5,खिर्सूक रावपा खातीर पर्यटक विसवघरां आसात.,positive
6,अंगस्चुरा 6 : दुयेंतीच्या हड्ड्यांत मातशी मातशी दूख जाणवता.,positive
7,ह्या भासाभासेच्या माध्यमांतल्यान दर्शकांक कथानकाची सुचोवणी दितात.,neutral
8,"मिलन ,  मधुमती ,  कश्मीर की कली  आनी  उपकार  सारकिली सिनेमां ताच्या स्मरणीय अभिनयांतल्यान सजयले.",positive
9,विलंबीत आनी मध्य लयांत गायकी आनी द्रूत लयांत संगीतकारी दिश्टी पडटा.,negative
10,"सांसवाची पोल्टीस, वायक्लो जिस्टीन वाया एण्टिक्लेमीन, बी हांचें प्लास्टर घाल्ल्यान फायदो जातलो.",neutral
11,गाजरांत कॅलोरी खूब उणी आसता.,positive
12,मल्टीपल मोनोल्युरोपॅथी आनी रॅडिकुलोपॅथी समस्या चडश्या गोड्यामुताच्या जाणट्या दुयेंतीक प्रभावीत करता.,positive
13,सिनेमा खातीर आयज आमचो समाज जायतो प्रभावीत आसा.,positive
14,मयूर आसन जठराग्नी पेटयता.,neutral
15,मंदार भागलपूर सावन ४८ कि.मी. दक्षिणेक आसा.,neutral
16,आजी जावपाचे पिरायेंत ही गजाल शंबर प्रतिशें सारकी थारता.,positive
17,"सल्फोडायझीन, एल्कोसीन, पॅण्टीड ऑरेकीन, बी हांची वडी खूब उपेगी सिद्ध जाल्या.",positive
18,ग्रॅण्ड पॅलेस ४ व्हड वणटींनी घेरल्या.,positive
19,निमाणें हे काशी खातीर उपकार उकतायात.,positive
20,ही बायलांचे भलायके कडेन जोडिल्ली गंभीर समस्या.,negative
21,आपले मोखी कडेन पावले उपरांत बीज गर्भाशयाच्या थरा कडेन जुळटा.,positive
22,"मेथयेंत एक रसायन आसता, जें कुश्टरोग, फुगांव, देवी, तकली उसळपा पसून फायदो करता.",negative
23,हे तरेन  स्लीप प्रॉलॅप्स्ड डिस्कच्या पिडेस्तां मदींय दिसानदीस वाड जायत आसा.,neutral
24,खंयचेय बायलेक खंयचेंय कश्ट आनी हांतल्यान कोणाकूय आनीक खंयचेंय कश्ट जाता.,neutral
25,दोळ्यांक दुखापत जाल्ल्या कारणान 20 40 प्रतिशें भुरगीं एका दोळ्यान कुड्डीं जातात.,negative
26,जेन्ना गू भोंकांत येवन पिडेस्ताक हागूंक वचपाक खर इत्सा जाता.,neutral
27,धुंवरें वा उणें नदरेक पडप.,neutral
28,हमाल्याच्या घरा भायर खूब गर्दी पडिल्ली.,positive
29,संभोग करिनासपा भायर कॉण्डोमुच ह्या दुयेंसां पसून वाटावंक शकता.,positive
30,गिन्यानी विचारवंताक मनशाक सदांच मान मेळटा.,positive
31,ब्लॅक होल हांगाची सगल्यांत रोमांचक वॉटर रायड.,positive
32,दिल्ली जयपूर म्हामार्गार आशिल्लें  आपनो घर  एक विकएण्ड टुरिस्ट स्पॉट जालां.,neutral
33,हाणें तुमी लेगीत खरडीच्या चपक्यांत येवं येतात.,negative
34,इटालींत विदेशी पर्यटकां खातीर वेगळेवगळे ४०० खास स्पा आसात.,neutral
35,हातूंत  रणभेरी  हाचें प्रकाशन महत्वाचें.,positive
36,बायलांच्या संबंदींत गुन्यांवांनी सेगीत जावपी वाडीक कोण जापसालदार आसा ?,positive
37,फिग्दाचे सुवातेर असले त्रास जातात जे सोंसूंक जायनात.,negative
38,बागकाम करूनय आमी खाद्यान्न सुरक्षा वाडोवपा खातीर चलपी अभियानाक गती दिवंक शकतात.,positive
39,आमच्या देशांत ज्वारीक रबी पिकाच्या रुपांत पिकयतात.,neutral
40,"सादी थंडी खोंकली आसत, वात आसत, चक्षुप्रदाह आसत वा पक्षाघाता सारक्या व्हडल्या दुयेंसाक डल्कामारा प्रभाव करपी आसा.",positive
41,संगितांत जायते सारगर्भीत लेख बरयले जे वेगळ्यावेगळ्या पत्र पत्रिकांनी प्रकाशीत जाले.,positive
42,फिगरा वांगडा बिपाशा बसू आपल्या स्टायल स्टेटमेंटा खातिरूय वळखता.,neutral
43,सगली मेळून तुमची भोंवडी एक यादीचो अणभव जातली.,positive
44,बडीशेपीच्या उत्पादनांत ताच्या जातीक विशेश म्हत्व आसा.,positive
45,ह्या वाठारांत रानटी गाढवां खूब आसात.,positive
46,तकलेक मार लागप.,negative
47,हरवार  सुवात खणकाम आनी नुस्तें धरपा खातीर लोकप्रीय आसा.,positive
48,नाल्ल आमकां स्थूलपणा पसून वाटायता.,positive
49,दोळे हळडुवे जातात.,neutral
50,तांकां सदांच खंयचेय सहायक तेलांत घालून करपाक जाय.,neutral
51,कुल्लू सावन ११ कि.मी. अंतराचेर बिजली म्हादेवाचें देवूळ आसां.,neutral
52,त्रास सगल्यांक जाता.,negative
53,"हाचे भायर एन्थीसन एविल, कॅल्सीब्रोनेट, बॅट्नीसोल, सायनापन, बी हांच्या इंजेसांवाचोय फायदो जाता.",negative
54,वांगडाच कुडीचो आकार आनी भाव हावभाव हांकां बरी करतात.,positive
55,अनिश्चीत गर्भधारणांचे कुयदादीची वेवस्था.,negative
56,आपोल खाल्ल्यार दांत बरे उरतात.,positive
57,जेन्ना मूठ बर्फांत भितर मुंगरता तेन्ना तो मोव बर्फ आसता.,neutral
58,तुमच्यांनी तातूंत एक रात वा चड वेळा खातिरूय रावूं येता.,positive
59,डॅझर्ट राष्ट्रीय उद्यानाक म्हान भारतीय  वस्टर्डाचेर  खूब अभिमान आसा.,positive
60,स सप्तकांचें बाळक मुरगुट्टा.,neutral
61,पुश्टीक अन्न आनी स्वस्थ जिणेची शैली आपणायात.,positive
62,म्हजी परिस्थिती गंभीरतायेन घेवन ते दोगूय थंयच रावले.,negative
63,ल्हान ल्हान पानांचो वट्टेलांव.,negative
64,रडिल्ल्यान आमकां खूब व्हड समाधान मेळटा.,positive
65,शामला दोंगराचे सोबीत दोंगुल्लेर थळावें विज्ञान केंद्र आसा.,positive
66,कुडीक लुकसाण करपी वायट जिवाणुंकूय पित्त काबार करता.,negative
67,हाचे एकाच बरोबर खुबशें फायदे जातलें कारण भारतांतय लोकसंख्या गतीन वाडटा.,positive
68,स्नो फ्लूक डॅडमॅना परसूय चड बरे आसतात हें अणभवा वयल्यान कळ्ळें.,positive
69,चाचा गार्डाच्या नांवान फामाद मैनी दर खेपे लोकांचे मजती खातीर दिश्टी पडटाले.,positive
70,२०११ वर्सा ताणें अमेरिकेंत ऑपरेशन केल्लें आनी बरो जाल्लो.,positive
71,काती संबंदी दुयेंसां आनी आर्थरायटीस सारक्या दुयेंसांच्या उपचारा खातीर हांगाच्या उदकाचो वापर करतात.,positive
72,भारताचे पयस दक्षीणेंत आशिल्लें कन्याकुमारी एक वेळे वयलें शार.,negative
73,मेंदू शितळ दवरता.,positive
74,ह्या समस्यां खातीर वापरिल्ल्यो माती वेवस्थीत पुरवण करतकच चड उत्पादक जातलीं.,negative
75,बायलां भितर चड करून रक्‍ताचें उणेपण आसता जाका लागून तीं अशक्‍तताय आनी थकव्याचो अणभव करतात.,negative
76,गांवगिर्‍या वाठारांनी आशिल्ल्या भलायकी सेवेंनी आवय संबंदीत सेवा दितात.,neutral
77,वखदाच्यो ह्यो गुळयो ५० वा १०० मिग्रात मेळटात.,positive
78,डल  तळें हें जम्मू काश्मीरांतलें दुसरें व्हडलें तळें.,neutral
79,"कपडे , बॅगां , बूट , आलायत्यो वस्तू , बी हांच्या शॉपिंगा खातीर ऑस्ट्रेलिया एक बरी सुवात.",positive
80,आयज हो किल्लो मोलादीक कलाकृतीचें सोबीत संग्रहालय.,positive
81,एक पांयान केले उपरांत दुसर्‍या पांयान हेच तरेन करात.,neutral
82,सायनोजॅन आर आनी निद्रानाश हीं दुयेंसां वाडयता.,negative
83,दुयेंतींक बहरेनांत सरकारा वतीन फुकट वखदां मेळटात.,negative
84,थंय उबे आशिल्ले एके बायलेन आमकां सांगलें बस येवपाची आसा.,positive
85,"बायलांक पॅड वा कसल्याय वस्तूचो वापर करचो पडटा, जो तांच्या संभोगाच्या जिणेक प्रभावीत करता.",neutral
86,"हाचें रूप, रंग फोडां भशेन आसता.",negative
87,थंड उदकाच्या प्रयोगांतल्यान ग्रंथी घटमूट आनी उतावळ्यो जावन स्राव करतात.,positive
88,दोनूय तळीं खूब सोबीत आसात.,positive
89,पटकी हें अचकीत जावपी दुयेंस.,negative
90,हे सुवाते खातीर उत्तरकाशी सावन 29 किमि चौरंगिखाला मेरेन बसींतल्यान वतात.,neutral
91,हाचे उपरांत सकाळ सांज पांच दीस गुळयो घेवंच्यो.,neutral
92,ही स्थितीच सारकी आसा.,positive
93,खूबशे भुरगे थुलथुलितूय आसतात.,negative
94,हाची चौकोनी गर्भकूड आनी भायर ल्हानसो सभामंटप आसा.,negative
95,नाल्ल इंसुलिनाचो स्राव बरो करता.,neutral
96,ह्या वेळार ताका कोणें तरी लेझर ट्रिटमॅण्टा विशीं सांगलें.,neutral
97,कुडीचेर येवपी खाजीक लागून कोडू लिंबाचें न्हाण पयलीं पासून उपेग पडत आयलां.,positive
98,नोयडांत आशिल्लें एण्टरटेनमॅण्ट सिटींत 30 परस चड फन रायड्स आसात.,positive
99,जोर येता.,neutral
100,संवसाराचे सगळे क्षेत्रीय आनी आतंरराष्ट्रीय प्रसारण संघटनांनीय हाचें समर्थन केलें.,positive
101,देखून ल्हान भुरग्यांकूच फळां तोडपा खातीर झाडांचेर चडयतात.,negative
102,बायल गायिकां मदीं सुरश्री गंगू बाय हंगलाची सुवात आगळी आसा.,positive
103,हाचे उपरांत म्हाका आपयलें.,neutral
104,"श्रीदेवी : ती दिसपाक जितली सुंदर आसा, तितलीच नाजुकसाणूय आसा.",positive
105,आम्लपित्तांत नाकांतल्यान रक्तस्राव.,negative
106,ह्या मोसमांत भेळशेल्लें जेवण जेवंक जायना.,negative
107,पशुपालन देशाच्या आर्थीक विकासांत मुखेल भुमिका निभायता.,positive
108,गवेशणात्मक शैली.,neutral
109,बाळंटेरा उपरांत चड रक्तस्राव जावप.,negative
110,भगताच्या सुरवातेक पयलीं गणपती नाचता आनी आखाड्याचे शिक्षक माचयेर तांकां पुजता.,neutral
111,"हातूंत देशांतल्यान आयिल्ले शेतकार, विशेशज्ञ आनी निती निर्मात्यांनी भाग घेतिल्लो.",neutral
112,"मुमरां येवप तरणे पिरायेची सामान्य समस्या, जाचे खातीर बडीचो परिणाम चड म्हत्वाचो.",negative
113,हें संसर्गा पसून लेगीत वाटायता.,positive
114,सदांच व्यायाम करचो.,neutral
115,"तेलकट, आंबट, मसाल्याचें टाळचें.",negative
116,"सकाळ सांज योगा, आनी सादो व्यायाम केल्ल्यान लाब मेळटा.",positive
117,"जळारां पसून जावपी जीव घेवपी दुयेंसां मलेरिया, डेंगू, बी हांचे पसून स्वताक वाटावप हें आमचे सगल्यांचें कर्तव्य.",neutral
118,"मलावरोध जाता, भूक लागना आनी जीब फुट्‍टा.",neutral
119,तेन्ना वचून दर्शनार्थी परत खुंटां फाटल्यान बसले.,negative
120,पद्मासन जठराग्नीक खर करता.,negative
121,बाळकाची जतनाय.,neutral
122,हे स्थितींत तांकी प्रमाणें अर्द्या ते तीन मिणटां मेरेन रावात.,neutral
123,काळींग खाल्ल्यान न्हिदूय बरी येता.,positive
124,मुंबयचो घनश्याम वसवानी हाणेंय आपल्या गायनांतल्यान लोकांक पिशें केलें.,negative
125,भुजंगासनाच्या विधी खातीर पोटाचेर न्हिदात.,neutral
126,उपयुक्त परिस्थिती वेळ आनी बडिंगाचे विधीचे सफळतायेक प्रमाणीत करतात.,positive
127,गोंयांत हर्बल गार्डस पर्यटकां खातीर नवें आकर्शण जाता.,positive
128,अजमेर शारा मद्दीं आशिल्लें  आनासागर  तळें सगल्यांत मनभुलयणी सुवात.,positive
129,"आयरीस टेनॅक्स 3, 30 : पोटांत दावे वटेन खर दूख.",negative
130,बर्फाचे स्थिती प्रमाणें थंय २० २५ सॅ.मि. वा आनिकूय खोल खणात.,neutral
131,"एक इतिहासीक शार , जें राजा संसार चंदाच्या काळांतलें कांगडा चित्रकले खातीर फामाद आसा.",neutral
132,दोनूय स्थिती योग्य न्हय.,negative
133,कितें जातलें जर कोणाकूय सेगीत कांय दिसां मेरेन न्हिदपाक दिलेना जाल्यार ?,neutral
134,गोड्यामुताच्या पिडेस्तांच्यांनी रगताचे घोळणुके कडेन संबंदीत व्यायाम नेमान करून गोड्यामुता पसून स्वताक वाटावं येता.,neutral
135,कांय लोक जितेच पुरून गेले.,negative
136,स्वास घेवपाक त्रास जातात.,neutral
137,बिहाराक धान्याचें उत्पन्नांत आनी उत्पादकतायेंत उत्कृश्ट उप्लब्धताय मेळयिल्ल्या कारणान पयलो पुरस्कार मेळ्ळो.,positive
138,बाजरी आनी ज्वारींत एलबीडो ज्वारीच्या तुळेंत चड आसता.,positive
139,महाराष्ट्रांत उसाचें कमी उत्पन्न आयिल्ल्यान कृशी मंत्रीन हो दुबाव उक्तायला.,negative
140,उत्कटासन बीक ना करता.,neutral
141,हरशीं दोन दोन वा तीन तीन रंगांच्या उणावान जायतीं दुयेंसां तयार जावं येतात.,negative
142,हळद खूब बरी विशाणूनाशक.,positive
143,वर्ल्डस बसोट हिस्ट्री म्युझियमांत वचूं येता.,neutral
144,कोचीक आशिल्ली डच पॅलेस आनी विलिंग्डन जुवें ह्यो पळोवपा सारक्यो सुवातो.,positive
145,उच्च रक्त दाबाच्या वायटकारांक हरवो कांदो मुजरत खावचो कारण हो रक्त दाब उणो करता.,negative
146,तो फकत ४ वर्सांचोच आशिल्लो तेन्नाच ताच्या बापायचें निधन जालें.,negative
147,हें भोपाळ वसोवपाचें श्रेय परमार राजा भोजाक वता.,neutral
148,मुजफ्फरपुरांत ओस्पितालांत जखम्यांक भायर तयार केल्ल्या खोंपींनी दवरिल्ले.,negative
149,"युमिनोल वखदां, म्हयन्याचें उण्या प्रमाणांत आनी थोड्या काळा मेरेन येवपाक खूब फायद्याचें.",positive
150,दुयेंसाचो अंत हळू हळू जाता.,negative
151,चड वाडिल्लो रक्‍तदाब मेंदवाच्या अशक्‍त शिरांक हानी करून फोडटा.,negative
152,रोहोन पिडेस्त दुयेंतीच्या दोळ्यांत मोतिबिंदू जालो जाल्यार आडावपा खातीर आदीं सावन उपाय करपाक जाय.,negative
153,"मोहिमे खातीर मावण्टन बायसिकल , हॅल्मॅट , लुंवां , बी यूथ हॉस्टॅला वतीन मेळोवन दितात.",neutral
154,बायलां मदीं कमर दुखपा खातीर जैविक कारण चड जापसालदार आसतात.,positive
155,"पांयांक विकृताय जशें किणक, कोर जाल्लो आखाणो, गोखरूं, बी.",neutral
156,"खरेंच , खुबूच सवाय आसात.",neutral
157,हें चोरवाड.,neutral
158,ग्रॅण्ड केनयानाच्या सैमीक सौंदर्याक पळोवन ते मंत्रमुग्ध जाले.,positive
159,तुमच्या सगळ्या खुशालभरीत खिणांक वेंगायात जाणटेपणा खातीर हेच खीण सुंदर उशें तयार करतात.,positive
160,बर्‍या रोंप्यांची रोंपणी करप गरजेचें.,positive
161,बर्लीन सॅगवे भोंवडेचोय वेगळोच आनंद आसा.,positive
162,सदांच बर्‍या गुणांच्या मेकअपाच्या सामानाचो उपेग करचो.,positive
163,जेवण चड गरम आनी चड थंड जेवचें न्हय.,neutral
164,आमी श्रीलंकेक कँडीक वचपाचें चिंत्तात.,neutral
165,ज्वारीचो वापर जायत्या तरांची वखदां तयार करपा खातीर करतात.,positive
166,स्व. कुदऊ सिंह ताच्या वेळा वयलो खूब फामाद पखवाजी आशिल्लो.,positive
167,उण्यांत उणी सात ते णव वरांची न्हीद घेवची.,negative
168,दुयेंती सेगीत खोंकता.,negative
169,तकली उसळपाक लागता वा ओंकूंक येता.,negative
170,निवासी शिटूक आनी स्फूर्त दिवपी.,positive
171,जाल्यार चरबेचें प्रमाण उणें करपा खातीर गरज आसता संतुळीत आहाराची.,neutral
172,सैमीक तपासणेच्या सल्ल्यांत हे थॅरपी वेळार रडपा खातीर प्रेरीत करतात.,negative
173,तिबेटी नव्या वर्साक म्हणल्यार मार्चाक हांगा खूब पर्यटक येतात.,neutral
174,चुकीच्या मापाचें वा नवें जोतें लागिल्ल्यान.,negative
175,"26 जुलय सोमारा , पांचांक सकाळींच गेले.",neutral
176,खूब पावसाक लागून रस्त्यांची अवस्था सदांच इबाडिल्ली आसता.,negative
177,सैमीक उपचार निर्धन व्यक्तींक आनी गरीब देशां खातीर खास तरेचो वर.,negative
178,ह्या खांब्यांचेर सोबीत नक्षीकाम केलां.,positive
179,शिकपाची इत्सा नासप हाचे परस कसलीय गजाल खबर नासप हातूंत चड लज नासता.,positive
180,हांचेच वांगडा हांगा ल्हान व्हड कांट्यांचीं झाडांय मेळटात.,negative
181,उर्ध्वबाहू बाबाच्या पसरिल्ल्या पांयांचेर सामान्य भारतीय आळयेपाळयेन तकली तेंकयतात.,negative
182,मान कणप.,neutral
183,सदांच मलावरोध जाता आसत.,neutral
184,आंतकड्यो आंवळिल्ल्यान दूख बी अपशकुनाचो अणभव येता.,positive
185,"कॉडलिवर ऑयल, आयरन, कुनीन, फॉस्फोरस, बी बळ वाडोवपी वखदां दिवपाक जाय.",neutral
186,मोटेपणाचो डिंबाशयाचे क्रियेचेर खूब वायट प्रभाव पडटा.,negative
187,जेन्ना पिकेची पेरणी योग्य वेळार जाता तेन्ना अशी स्थिती येवपाची शक्यताय नासपाच्या बराबरींत आसता.,negative
188,टिवी पळोवप शिमीत करचें.,neutral
189,दुयेंसाचे गंभीर अवस्थेंत गंभीर लक्षणां रोखडींच दिश्टी पडूं येतात.,positive
190,विदेशी मिडियांचे लोक पिश्यां भशेन हांगा थंय क्लीक वा शूट करतात.,negative
191,तुळशी बगर जिणेंत कांयच  संस्कार  पूर्ण जायनात हें आमकां खबरूच आसा.,neutral
192,समितींच्या सदस्यां मदीं नियंत्रण आनी बचताच्या भावनांचो विकास जावंक ना.,neutral
193,हाचे खातीर तेलकट जिनस उण्या प्रमाणांत खावंक जाय.,negative
194,जायत्या सुवातांचेर रस्तो येरादारी हे ट्रेनी वांगडाच जाता.,positive
195,हाचो आराखडो प्रसिद्द वास्तूशास्त्रज्ञ चार्ल्स कुर्रैयान तयार केल्लो.,positive
