english,konkani,label
"Upadhanasana provides strength to the nerves of the hands, feet and neck.","उपधानासन हातांच्या, पांयांच्या आनी मानेच्या स्नायूंक तांक दिता.",positive
UPI. Due to the financial crisis went the year closed in 1958.,यू. पी. आय. आर्थीक संकटा खातीर सन १९५८ ह्या वर्सा बंद केल्ली.,negative
"Upon finding out, it was found that a lion had come there.",वासपूस करतकूच कळ्ळें की थंय वाग आशिल्लो.,neutral
Urine comes again and again and there is a desire to urinate.,हातूंत परत परत मूत येता आनी मुतपाक वचपाची इत्सा जायत आसता.,positive
Use ample amounts of phosphorus is less outbreak of blast disease Mdua.,फॉस्फोरसाच्या फावोशे प्रमाणांत प्रयोग केल्ल्यान ज्वारींत ब्लास्ट रोगाचो कमी प्रकोप जाता.,neutral
Use flowers and leaves already dried (by pressure drying) over this bandage.,हे पट्टेचे वयर पयलींच सुकयल्ले ( दाब सुकवण वरवीं ) फुलां आनी पानांचो वापर करचो.,negative
Use fresh or lukewarm water while removing the henna from the hair.,मेथी केंसांतली काडपा वेळार ताज्या वा दुगदुगीत उदकाचो वापर करचो.,positive
Use good rain in case of rain or snowfall on the mountains.,दोंगरांचेर पावस पडल्यार वा बर्फ पडल्यार बरे सत्रेचो वापर करात.,positive
Use it tied Pora with homegrown solution has been to Best found.,हाका देशी नांगरा वांगडा दांडो लावन वापरिल्ल्यान बरें जाता.,positive
Use of drugs during pregnancy is important for both physicians and patients.,गुरवारपणा वेळार वखदांचो उपेग दोतोर आनी पिडेस्त बायलो दोगांय खातीर म्हत्वाचो.,positive
Use of organic fertilizers in the cultivation of coriander is most beneficial.,कोथमिरेच्या शेतींत ऑर्गेनीक सार्‍याचो प्रयोग करप सगळ्यांत चड लाबदिणें आसता.,positive
Use one of the words is small She was highly regarded hotel.,उपयोग हें उतर ल्हान आशिल्ल्या कारणान ताका अत्यंत श्रेश्ठ मानला.,neutral
