English,konkani,Sentiment
"Yes, do not consume it with weak digestive power.",पूण पचनशक्त दुबळी आशिल्ल्यांनी हाचें सेवन करचे न्हय.,Negative
Sometimes the weak patient's knot stops the anus.,केन्ना केन्ना अशक्त पिडेस्ताच्यो गांठी भोंकाक थांबयतात.,Negative
"If the skin is oily, use oil-free cold cream.",जर कात तेलकट आसत तर तेल नाशिल्ले कोल्ड क्रिमीचो वापर करचो.,Negative
Pepper gardens and small fields can also be seen.,मिरयांचे मळे आनी ल्हान ल्हान शेतां लेगीत पळोवं येतात.,Negative
Devotees enjoy the virtue of Meruparvat and receive charitable results.,श्रद्धाळू भक्त मेरूपर्वताची प्रदक्षिणा काडून पुण्य फळ प्राप्त करतात.,Positive
Liquid base Pap test is done for this.,हाचे खातीर द्रवाचेर आदारिल्ली पॅप तपासणी करतात.,Negative
Medicine pills 50 or 100 mg. Are available in,वखदाच्यो ह्यो गुळयो ५० वा १०० मिग्रात मेळटात.,Positive
If you wear shoes of the wrong size or design.,जर तुमी चुकीच्या आकाराचीं वा डिजायनाचीं जोतीं घालतात.,Negative
Hathni Kund (Tajewala) of Haryana is popular for fishing.,हरियानाचें हथनी कुंड ( ताजेवाला ) नुस्तें धरपा खातीर लोकप्रीय आसा.,Positive
The 'Ganjamdistrict of Orissa is replete with natural wealth.,उडिसाचो  गंजाम  जिल्लो सैमीक आसपतीन भरला.,Neutral
These are common things in today's stressful life.,आयचे तणावाचे जिणेंत ह्यो सगल्यो सादारण गजाली.,Negative
There is also a small island in the lake.,तळयेंत एक ल्हानसो जुंवोय आसा.,Negative
One should always rinse with fresh water after toothing.,दांतूण केले उपरांत सदांच ताज्या उदकांतूच घोंट घेवंक जाय.,Positive
Eat Roasted Chicken Breast instead of Fried Chicken Breast.,तळिल्ल्या चिकन ब्रॅस्टा बदला भाजिल्लें चिकन ब्रॅस्ट खायात.,Negative
Avalansh is a very common occurrence in the mountains.,बर्फ कोसळप ही दोंगरांचेर एक खूब सामान्य घडणूक.,Negative
He donated all his possessions and became a hermit.,ताणें स्वताची सगली संपत्ती दान केली आनी एक संन्याशी जालो.,Neutral
